Sign	KB.Coded.Body.Anchor	KB.Coded.iconic	From.ELAN.Indexicality
BLACK	yes	yes	Yes-body
BOOGER	no	yes	No
BRIGHT	no	yes	NA
CLOWN	no	yes	No
COLOR	no	no	NA
CORRECT	no	no	NA
DARK	no	yes	NA
DARK#FACE	yes	yes	Yes-body
DIFFERENT	no	no	NA
DRIVE	no	no	NA
FIRST	no	no	NA
FLOWER	no	no	No
GOOD	no	no	NA
HAIR	yes	yes	Yes-body
IX:'BACK OF ONE'S HAND'	yes	yes	Yes-body
JORDAN	no	no	NA
LEMON	no	yes	NA
LIPSTICK	no	yes	NA
LW:CAP(POLICE)'S LW:BOLD PATTRN OF DRESS	no	yes	NA
ME	no	no	NA
NIGHT	no	yes	No
NOSE-PENDANT	no	yes	NA
NOT	no	no	NA
PLANTS	no	yes	No
SAME	no	no	NA
SIGNING	no	no	NA
SIWASH	no	no	NA
SUN	no	yes	NA
TREE	no	yes	No
UNDERSTAND	no	no	NA
WHITE	yes	yes	Yes-body
YES	no	no	NA
YOU	no	no	NA
BLANK'	no	no	NA
LE'	no	no	NA
DARK-CIRCLES AROUND THE EYES	yes	yes	Yes-body
DARK-NIGHT	no	yes	No
DO NOT UNDERSTAND	no	no	NA
DRINK	no	no	NA
EAT	no	no	NA
EAT EVERYDAY	no	no	NA
EAT#FOOD	no	no	NA
EAT+PEEL	no	yes	NA
EVERY DAY^DRINK	no	no	NA
FACE+DARK     same DARK#FACE	yes	yes	No
GREEN-CHEST	no	no	NA
GREEN-NSL	no	no	No
IX:ARM	yes	yes	Yes-body
IX:BLOOD VESSEL	yes	yes	Yes-body
IX:CHAIR	no	no	NA
IX:CLOWN#FACE	no	yes	Yes
IX:DOOR	no	yes	Yes
IX:FACE#DARK	yes	yes	Yes-body
IX:FLOOR	no	yes	yes
IX:FOREST	no	yes	Yes
IX:LIP	yes	yes	Yes-body
IX:PARTITION	NO	yes	Yes
IX:RING	no	yes	Yes
IX:SKY	no	yes	yes
IX:TONGUE	yes	yes	Yes-body
IX:TONGUE +IX:LIP+DIFFERENT	yes	yes	Yes-body
IX:TONGUE+IX:LIP	yes	yes	Yes-body
IX:WALL	no	yes	Yes
IX:WATCH	no	yes	Yes
IX#SOMETHING	no	yes	yes
L	no	no	NA
ORANGE	no	yes	NA
ORANGE JUICE^DRINK	no	yes	No
OS:RED(MOUTH)+IX:TONGUE+DIFFFERENT	yes	yes	Yes-body
PAINT THE WALL	no	yes	NA
PINK(JSL)	no	no	No
PRAYER	no	no	NA
RED-BLOOD	yes	yes	yes-body
RED-BROW	no	yes	NA
RED(FRONTLET)	no	yes	No
RED(IMOUTH)  --> RED(MOUTH)	yes	yes	no
RED(MOUTH)	yes	yes	no
RED(MOUTH) + NOT+DIFFERENT	yes	yes	no
ROAD	no	no	NA
SALTY	no	no	NA
STRUT	no	yes	No
STRUT+IX	no	yes	yes
THE DOOR	no	yes	No
TREE-STRUT	no	yes	No
TREE-STRUT+IX	no	yes	No
YELLOW-CHEST	no	no	No
YELLOW-CHIN	no	no	NA
YELLOW(ISL)	no	no	no
